HORA;;GPS-T;GPS-D;GPS-P;;BRC-T;BRC-D;BRC-P;;EUC-T;EUC-D;EUC-P;;
23:31;;00:01:10;365;4866,2784;;00:01:10;365;3,0002;;00:01:24;333;2,0001;;
23:31;;00:02:27;763;4063,2324;;00:02:54;1060;0;;00:02:27;763;0;;
23:32;;00:00:06;42;4101,2346;;00:00:56;366;0;;00:00:06;42;0;;
23:32;;00:00:45;134;4164,2382;;00:00:45;134;1,0001;;00:00:45;134;0;;
23:33;;00:01:11;866;4077,2332;;00:03:52;1541;0;;00:07:03;3107;0;;
23:34;;00:00:44;233;4023,2301;;00:03:14;948;0;;00:00:44;233;0;;
23:34;;00:02:38;844;4284,2451;;00:05:07;1800;0;;00:04:25;1689;0;;
23:35;;00:00:29;153;4406,2521;;00:00:44;245;0;;00:00:29;153;0;;
23:35;;00:00:16;89;3918,2241;;00:00:16;89;0;;00:00:16;89;0;;
23:36;;00:05:30;2063;4063,2324;;00:05:30;2063;0;;00:05:30;2063;0;;
23:36;;00:01:29;269;4067,2326;;00:03:05;1242;0;;00:01:53;695;0;;
23:37;;00:01:14;337;4209,2407;;00:01:14;337;1,0001;;00:03:53;1029;0;;
23:38;;00:01:04;288;4023,2301;;00:02:48;896;0;;00:01:04;288;0;;
23:38;;00:00:57;301;4066,2325;;00:02:43;966;0;;00:02:33;888;0;;
23:39;;00:00:00;0;4284,245;;00:03:41;1087;0;;00:00:00;0;0;;
23:39;;00:01:03;337;4132,2363;;00:01:56;627;0;;00:01:03;337;0;;
23:40;;00:02:37;903;4064,2324;;00:05:31;1466;0;;00:02:37;903;0;;
23:40;;00:02:02;642;4043,2313;;00:03:57;1223;0;;00:02:31;733;0;;
23:41;;00:00:14;99;4026,2303;;00:01:05;292;0;;00:01:05;292;0;;
23:41;;00:01:12;244;4179,2391;;00:03:12;1010;0;;00:03:12;1010;0;;
23:42;;00:00:31;165;4129,2362;;00:02:01;637;0;;00:00:31;165;0;;
23:42;;00:03:04;817;2508,1434;;00:03:44;1170;0;;00:03:04;817;0;;
23:43;;00:01:01;329;3891,2226;;00:02:44;883;1,0001;;00:01:01;329;0;;
23:43;;00:01:58;511;4168,2384;;00:01:58;511;0;;00:07:52;3624;0;;
23:44;;00:01:08;376;4032,2306;;00:01:19;382;0;;00:01:09;294;0;;
23:45;;00:03:05;727;3040,1738;;00:04:28;1312;0;;00:03:05;727;0;;
23:45;;00:01:35;523;4280,2448;;00:01:37;421;1,0001;;00:02:43;705;0;;
23:46;;00:00:24;77;3939,2253;;00:06:31;2389;0;;00:00:24;77;0;;
23:46;;00:03:26;1052;4020,2299;;00:03:59;1252;1,0001;;00:03:26;1052;0;;
23:47;;00:00:19;81;4078,2333;;00:03:58;1120;0;;00:03:58;1120;0;;

Aperte ENTER para finalizar..