Cliente: Cliente1 > Tempo Espera: ;00:06:50
Cliente: Cliente 2 > Tempo Espera: ;00:05:40
Cliente: Cliente 3 > Tempo Espera: ;00:01:46
Cliente: Cliente 4 > Tempo Espera: ;00:06:17
Cliente: Cliente 5 > Tempo Espera: ;00:04:54
Cliente: Cliente 6 > Tempo Espera: ;00:05:04
Cliente: Cliente 7 > Tempo Espera: ;00:04:16
Cliente: Cliente 8 > Tempo Espera: ;00:04:19
Cliente: Cliente 9 > Tempo Espera: ;00:06:18
Cliente: Cliente 10 > Tempo Espera: ;00:08:06
Cliente: Cliente 11 > Tempo Espera: ;00:06:38
Cliente: Cliente 12 > Tempo Espera: ;00:08:07
Cliente: Cliente 13 > Tempo Espera: ;00:03:49
Cliente: Cliente 14 > Tempo Espera: ;00:11:09
Cliente: Cliente 15 > Tempo Espera: ;00:05:07
Cliente: Cliente 16 > Tempo Espera: ;00:02:24
Cliente: Cliente 17 > Tempo Espera: ;00:05:40
Cliente: Cliente 18 > Tempo Espera: ;00:07:41
Cliente: Cliente 19 > Tempo Espera: ;00:05:12
Cliente: Cliente 20 > Tempo Espera: ;00:28:06
Cliente: Cliente 21 > Tempo Espera: ;00:07:55
Cliente: Cliente 22 > Tempo Espera: ;00:07:29
Cliente: Cliente 23 > Tempo Espera: ;00:15:31
Cliente: Cliente 24 > Tempo Espera: ;00:09:03
Cliente: Cliente 25 > Tempo Espera: ;00:06:03
Cliente: Cliente 26 > Tempo Espera: ;00:26:05
Cliente: Cliente 27 > Tempo Espera: ;00:09:00
Cliente: Cliente 28 > Tempo Espera: ;00:09:28
Cliente: Cliente 29 > Tempo Espera: ;00:05:48
Cliente: Cliente 30 > Tempo Espera: ;00:04:56
Cliente: Cliente 31 > Tempo Espera: ;00:05:34
Cliente: Cliente 32 > Tempo Espera: ;00:05:20
Cliente: Cliente 33 > Tempo Espera: ;00:02:20
Cliente: Cliente 34 > Tempo Espera: ;00:09:13
Cliente: Cliente 35 > Tempo Espera: ;00:07:00
Cliente: Cliente 36 > Tempo Espera: ;00:05:51
Cliente: Cliente 37 > Tempo Espera: ;00:14:14
Cliente: Cliente 38 > Tempo Espera: ;00:38:13
Cliente: Cliente 39 > Tempo Espera: ;00:18:53
Cliente: Cliente 40 > Tempo Espera: ;00:11:00
Cliente: Taxista41 > Tempo Espera: ;00:07:40
Cliente: Taxista42 > Tempo Espera: ;00:14:51
Cliente: Taxista43 > Tempo Espera: ;00:10:40
Cliente: Taxista44 > Tempo Espera: ;00:04:47
Cliente: Taxista45 > Tempo Espera: ;00:07:11
Cliente: Taxista46 > Tempo Espera: ;00:00:00
Cliente: Taxista47 > Tempo Espera: ;00:06:00
Cliente: Taxista48 > Tempo Espera: ;00:06:43
Cliente: Taxista49 > Tempo Espera: ;00:10:26
Cliente: Taxista50 > Tempo Espera: ;00:04:11

Tempo médio: 00:08:34.5600000


Aperte ENTER para finalizar..